Lab session id: phase0-20260708-khai
Captured at: 2026-07-08 10:27:10 +07:00
Evidence item: host-listening-ports-netstat


Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    172.24.32.1:138        *:*                                    4
  UDP    172.24.32.1:1900       *:*                                    13128
  UDP    172.24.32.1:2177       *:*                                    22612
  UDP    172.24.32.1:64364      *:*                                    13128
  UDP    192.168.6.33:137       *:*                                    4
  UDP    192.168.6.33:138       *:*                                    4
  UDP    192.168.6.33:1900      *:*                                    13128
  UDP    192.168.6.33:2177      *:*                                    22612
  UDP    192.168.6.33:64362     *:*                                    13128
  UDP    192.168.88.1:137       *:*                                    4
  UDP    192.168.88.1:138       *:*                                    4
  UDP    192.168.88.1:1900      *:*                                    13128
  UDP    192.168.88.1:2177      *:*                                    22612
  UDP    192.168.88.1:64360     *:*                                    13128
  UDP    192.168.213.1:137      *:*                                    4
  UDP    192.168.213.1:138      *:*                                    4
  UDP    192.168.213.1:1900     *:*                                    13128
  UDP    192.168.213.1:2177     *:*                                    22612
  UDP    192.168.213.1:64361    *:*                                    13128
  UDP    [::]:5353              *:*                                    2340
  UDP    [::]:5353              *:*                                    19648
  UDP    [::]:5353              *:*                                    12812
  UDP    [::]:5353              *:*                                    12812
  UDP    [::]:5353              *:*                                    19648
  UDP    [::]:5353              *:*                                    19648
  UDP    [::]:5353              *:*                                    12812
  UDP    [::]:5353              *:*                                    19648
  UDP    [::]:5353              *:*                                    12812
  UDP    [::]:5355              *:*                                    2340
  UDP    [::]:58525             *:*                                    2340
  UDP    [::]:59127             *:*                                    5660
  UDP    [::1]:1900             *:*                                    13128
  UDP    [::1]:64357            *:*                                    13128
  UDP    [fe80::2d0d:db77:9927:b102%2]:1900  *:*                                    13128
  UDP    [fe80::2d0d:db77:9927:b102%2]:2177  *:*                                    22612
  UDP    [fe80::2d0d:db77:9927:b102%2]:64356  *:*                                    13128
  UDP    [fe80::4467:c39a:7bdb:2414%9]:1900  *:*                                    13128
  UDP    [fe80::4467:c39a:7bdb:2414%9]:2177  *:*                                    22612
  UDP    [fe80::4467:c39a:7bdb:2414%9]:64354  *:*                                    13128
  UDP    [fe80::5db5:f50f:11fe:636f%59]:1900  *:*                                    13128
  UDP    [fe80::5db5:f50f:11fe:636f%59]:2177  *:*                                    22612
  UDP    [fe80::5db5:f50f:11fe:636f%59]:64358  *:*                                    13128
  UDP    [fe80::847d:9928:8e72:6b0d%17]:1900  *:*                                    13128
  UDP    [fe80::847d:9928:8e72:6b0d%17]:2177  *:*                                    22612
  UDP    [fe80::847d:9928:8e72:6b0d%17]:64355  *:*                                    13128

